t;s1;s2;s3
-6;1;-0,382683432;-0,087277794
-5;0,5;0,923879533;-0,742897825
-4;-0,5;-0,923879533;-0,999862345
-3;-1;0,382683432;-0,720278471
-2;-0,5;0,382683432;-0,054177135
-1;0,5;-0,923879533;0,640996858
0;1;0,923879533;0,992197667
1;0,5;-0,382683432;0,81096312
2;-0,5;-0,382683432;0,194547708
3;-1;0,923879533;-0,526266335
4;-0,5;-0,923879533;-0,964674146
5;0,5;0,382683432;-0,885416335
6;1;0,382683432;-0,331024407
